,reviewer,star rate,review
0,0yer****,5,"재구매배송 빠르고 오프라인보다 저렴해서 늘 여기서만 구매합니다. 어차피 늘 쟁여두고 먹는 햇반이라 36개 대용량 구매했습니다! 유통기한도 넉넉하고 컵라면에 뭔가 부족할 때 , 급하게 밥 바로 먹어야 할 때 아주 간편하게 먹기 좋네요!"
1,en****,5,"신랑이 자주 파견 출장 교육을 다녀서 떨어져 있는 시간이 꽤 되는데, 아침은 안 먹고 점심은 회사에서 먹고 저녁은 혼자 해결해야 해서 귀찮아 하더라구요. 그래서 매번 햇반 구매해서 먹었었는데, 이번에 행사를 하길래 2박스 구매했습니다! 유통기한은 23년 11월 15일? 까지여서 적당하다고 생각했습니다. 자주 이런 행사 해주면 좋겠습니다!"
2,qkre******,5,"도착보장 서비스 처음으로 이용해 봤는데

정말 빨리 보내주시네요. 

제가 받은 제품의 유통기한은 11월 중순까지 입니다.

저렴한 가격에 빠른 배송이라

자주 이용할 것 같습니다."
3,atjd***,5,"재구매빠른 배송 너무 좋습니다.
이번에는 유통기한도 길어서 좋아요.
감사합니다."
4,rheh*****,5,어제 낮에 시켜서 오늘 낮에 받았어요👍🏻유통기한도 9개월 이상으로 기네요👍🏻👍🏻온리쿠팡러였는데 네이버가 더 저렴해서 사봤어요 1박스보다 2박스 사는 게 할인 폭이 커서 2박스 샀더니 아주 든든하고 좋네요😽3박스부터는 할인율이 같아서 72개만 쟁였어요 뉴스에선 당장 내일인 3월부터 물가가 치솟을 거라고 하는데ㅠㅠ 다들 올해도 밥심으로 힘내시길 !!
5,kw****,5,잘 받았습니다. 발송 빠르네요. 넉넉하게 많이 구입해서 왠지 부자가 된 기분입니다. 안먹는다 안먹는다 하면서도 어쩔 수없이 햇반을 자꾸 먹게 되네요. 라이브 방송 보면서 구입했는데 유통기한도 11월 까지라 비교적 넉넉하고 잘 구입했다는 생각이 드네요. 수고하세요. 잘 먹겠습니다.
6,flyl*****,5,"보통의 성인 한끼 분량으로 딱 좋은거 같아요. 보관도 쉽고 밥하기 힘들때나 애매하게 모자랄때 넘 요긴해요. 
쟁여놓으니 든든합니다."
7,tkdd*******,5,"옛날엔 압력밥솥에서 쌀씻고 물버리고 밥 지어서 먹었는데, 근 3년 전 부터 압력 밥솥 보단 즉석밥 구매해서 먹는게 더 맛있고 간편 하더라구요.
배송도 하루만에 와서 급할때 진짜 도움이 많이 되었어요.
밥도 맛있고 따로 할거 없이 전자렌지에 1분 30초 정도 돌리면 갓 지은밥 처럼 따뜻해서 너무 잘 먹고 있습니다.
밥 떨어지기 전에 재구매 할게요."
8,goos****,5,생방송하다 몇시간 후에 1000원 쿠폰 껴서 더 싸게 팔면 어떡합니까 ㅡㅡ 천원 아무것도 아니지만 기분이 썩 좋진 않네요 그래도 별점 테러하고 싶은 맘은 없어서... 좀 신경 써주세요
9,ten3******,5,"항상 밥을 해먹는 집이라 즉석밥이 크게 필요하진 않으나 비상시 요긴하게 쓰여서 없어서는 안될 제품이죠~ 보통 6개정도씩 사다놨는데, 도착보장으로 빠른 배송과 간편하게 집에서 받을수 있어서 네이버에서 구매했어요. 36개다보니 아~주 든든합니다."
10,5u****,5,빠르게 잘 받았오요~ 흑미밥도 주문할려구요~ 밥하기 귀찮을때마다 하나씩 꺼내서 먹는데 이것만 사먹게 되네요 ~ 진짜 편하고 밥맛좋고 짱이예요~ 사진보면 한개만 저렇게 쭈글쭈글 올라와있던데 밥에는 이상 없겠죠?? 잘 먹을께요 ~
11,jrl5***,5,정말 저렴 하게 구입햇어요~~아들이 자취 하는데 비상식량~으로 항상 구매하는데 밥맛도 좋구 유통기한도 넉넉하구 좋아요
12,en****,5,"재구매우리집 필수템! 햇반이 떨어지면 큰~일나요.
현미밥이나 잡곡밥을 주로 하다보니, 아이들은 싫어하고 그 대안으로 햇반을 먹어요.
자주 구매합니다.또 구매할게요~"
13,skle*****,5,"최저가로 구매해서 기분좋네요.
타사 제품보다 cj제품이 제 입맛에는 더 잘 맞네요. 밥알도 탱글하고 무엇보다 촉촉함이 더 오래가서 좋아요"
14,oct0***,4,재구매물건은잘받았읍니다  햇반은언제나믿고 구매하는데  이번엔 하나가 상해서왔네요  공기가빵빵하게들어가  혹시나 뜯어보니 쉰내가 나네요 검수만제대로했다면 하는아쉬움이 있네요
15,aiba*****,5,하자없이 모두 잘 왔어요. 남은게 있어서 아직 못 먹어봤는데 유통기한도 넉넉한 편이에요. 다른데서 샀던 햇반은 뚜껑비닐의 접착제가 남아서 불편했는데 여기에서 산건 제발 안 그랬으면 해요ㅎㅎ
16,hjo8***,5,잘 먹고 있습니다 맛있어요
17,kkyg*****,5,언제나 네이버에서 햇반을 구매하는데 지금껏 대만족하네요 유통기한도 넉넉하고 좋아요^^
18,yj99*****,5,"좋은 상품 할인 받아서 좋은 가격에 
구입했습니다.
주문 하루만에 빠르게 배송 받았습니다 .
택배기사님도 친절하고 만족합니다"
19,goin***,3,집에서  밥은 햇반으로 해결하는데요. 약간 할인된 가격으로 산것 같아 만족합니다.
